Timestamp,Experiment_ID,Model_Type,Task,n_layer,n_embd,n_head,n_qubits,q_depth,learning_rate,num_epochs_run,seq_len_train,Config_Block_Size,Config_n_intermediate,MAE,MSE
2025-05-14_12-53-11,c_damped_2025-05-14_12-53-11,Classical,DampedOscillation,1,16,2,N/A,N/A,1.0e-03,1000,20,30,32,0.473051,0.234408
2025-05-19_03-31-21,c_damped_2025-05-19_03-31-21,Classical,DampedOscillation,1,16,2,N/A,N/A,1.0e-03,1000,20,30,32,0.566263,0.344512
2025-05-19_03-37-10,c_damped_2025-05-19_03-37-10,Classical,DampedOscillation,1,16,2,N/A,N/A,1.0e-03,1000,20,30,32,0.452478,0.276545
2025-05-19_03-44-07,c_damped_2025-05-19_03-44-07,Classical,DampedOscillation,1,16,2,N/A,N/A,1.0e-03,1000,20,30,32,0.560315,0.398096
2025-05-19_12-23-16,c_damped_2025-05-19_12-23-16,Classical,DampedOscillation,1,16,2,N/A,N/A,1.0e-03,1000,20,30,32,0.323643,0.145732
2025-05-21_18-37-03,c_damped_2025-05-21_18-37-03,Classical,DampedOscillation,1,16,2,N/A,N/A,1.0e-03,1000,20,30,32,0.720629,0.557047
2025-05-21_18-44-42,c_damped_2025-05-21_18-44-42,Classical,DampedOscillation,1,16,2,N/A,N/A,1.0e-03,1000,20,30,32,0.386946,0.194609
2025-05-21_18-45-30,c_damped_2025-05-21_18-45-30,Classical,DampedOscillation,1,16,2,N/A,N/A,1.0e-03,1000,20,30,32,0.584072,0.415210
2025-05-21_18-47-38,c_damped_2025-05-21_18-47-38,Classical,DampedOscillation,1,16,2,N/A,N/A,1.0e-03,1000,20,30,32,0.309521,0.131761
