Epoch,Average Loss
1,0.070244
2,0.111163
3,0.078226
4,0.113957
5,0.076888
6,0.101173
7,0.065601
8,0.061864
9,0.046262
10,0.066457
11,0.080866
12,0.060160
13,0.049180
14,0.036002
15,0.036135
16,0.032957
17,0.027603
18,0.029091
19,0.025869
20,0.030328
21,0.024944
22,0.023783
23,0.023745
24,0.021614
25,0.025145
26,0.028013
27,0.028908
28,0.027927
29,0.025877
30,0.025679
31,0.026345
32,0.027290
33,0.024591
34,0.027645
35,0.026020
36,0.024012
37,0.023934
38,0.026007
39,0.024989
40,0.024095
41,0.025160
42,0.024965
43,0.023249
44,0.023194
45,0.022733
46,0.022224
47,0.022447
48,0.021815
49,0.023137
50,0.022993
51,0.023328
52,0.021609
53,0.025588
54,0.022889
55,0.024267
56,0.023453
57,0.024388
58,0.024302
59,0.025060
60,0.025021
61,0.023414
62,0.022884
63,0.022977
64,0.021270
65,0.021803
66,0.021167
67,0.020201
68,0.019603
69,0.019834
70,0.019152
71,0.019056
72,0.017747
73,0.017395
74,0.017056
75,0.016379
76,0.016191
77,0.016200
78,0.015947
79,0.016080
80,0.016013
81,0.015495
82,0.015656
83,0.015904
84,0.016339
85,0.015411
86,0.015506
87,0.015113
88,0.015432
89,0.015126
90,0.014591
91,0.014708
92,0.015140
93,0.015278
94,0.015099
95,0.014860
96,0.014712
97,0.015194
98,0.014758
99,0.015095
100,0.015126
101,0.014509
102,0.015696
103,0.014772
104,0.014650
105,0.015221
106,0.015131
107,0.014934
108,0.015100
109,0.014652
110,0.014544
111,0.015168
112,0.014799
113,0.014695
114,0.014070
115,0.014061
116,0.013886
117,0.014003
118,0.014002
119,0.013920
120,0.013841
121,0.013690
122,0.013337
123,0.013374
124,0.013180
125,0.013211
126,0.013509
127,0.013412
128,0.012873
129,0.012645
130,0.012281
131,0.012451
132,0.012829
133,0.012629
134,0.012253
135,0.012157
136,0.011890
137,0.011751
138,0.012011
139,0.011970
140,0.012093
141,0.011532
142,0.011377
143,0.011573
144,0.011756
145,0.011189
146,0.011501
147,0.011292
148,0.011301
149,0.011605
150,0.011969
151,0.011599
152,0.011046
153,0.011034
154,0.010705
155,0.010780
156,0.010983
157,0.010979
158,0.010733
159,0.010659
160,0.011053
161,0.010876
162,0.010648
163,0.010560
164,0.010721
165,0.010665
166,0.010548
167,0.010296
168,0.010212
169,0.010474
170,0.010311
171,0.010425
172,0.010607
173,0.010486
174,0.010304
175,0.010024
176,0.010129
177,0.010050
178,0.010229
179,0.010223
180,0.010002
181,0.009898
182,0.009934
183,0.009624
184,0.009614
185,0.009629
186,0.009734
187,0.009810
188,0.009870
189,0.009652
190,0.009735
191,0.009738
192,0.009646
193,0.009768
194,0.009743
195,0.009584
196,0.009424
197,0.009952
198,0.009770
199,0.009726
200,0.010079
201,0.009303
202,0.009442
203,0.009323
204,0.009323
205,0.009363
206,0.009786
207,0.009750
208,0.009615
209,0.009720
210,0.009379
211,0.009186
212,0.009103
213,0.009079
214,0.008874
215,0.009259
216,0.009402
217,0.009362
218,0.009507
219,0.008777
220,0.009761
221,0.009266
222,0.009716
223,0.008995
224,0.008963
225,0.009149
226,0.009085
227,0.008980
228,0.009150
229,0.009012
230,0.009136
231,0.010245
232,0.009772
233,0.009552
234,0.009065
235,0.008832
236,0.009005
237,0.008851
238,0.008800
239,0.008767
240,0.008734
241,0.008876
242,0.008619
243,0.008641
244,0.008564
245,0.008894
246,0.008843
247,0.008896
248,0.009100
249,0.008764
250,0.008580
251,0.008570
252,0.008664
253,0.008641
254,0.008610
255,0.008601
256,0.008444
257,0.008888
258,0.008789
259,0.009096
260,0.009000
261,0.008958
262,0.008902
263,0.008585
264,0.008627
265,0.008651
266,0.008450
267,0.008667
268,0.008593
269,0.008752
270,0.008528
271,0.008460
272,0.008586
273,0.008666
274,0.008760
275,0.008932
276,0.010318
277,0.012899
278,0.010516
279,0.009624
280,0.009192
281,0.013791
282,0.010197
283,0.009154
284,0.008574
285,0.008643
286,0.008630
287,0.008655
288,0.008680
289,0.008815
290,0.008698
291,0.008403
292,0.008607
293,0.008265
294,0.008589
295,0.008321
296,0.008516
297,0.008405
298,0.008697
299,0.008657
300,0.008276
301,0.013086
302,0.009261
303,0.008726
304,0.008556
305,0.008617
306,0.008375
307,0.008469
308,0.008417
309,0.008672
310,0.008181
311,0.008541
312,0.008558
313,0.008397
314,0.008677
315,0.008524
316,0.009608
317,0.010927
318,0.010211
319,0.009136
320,0.008850
321,0.008647
322,0.008261
323,0.008514
324,0.008281
325,0.008237
326,0.008311
327,0.008180
328,0.008189
329,0.008130
330,0.008215
331,0.008497
332,0.008378
333,0.009117
334,0.008401
335,0.008578
336,0.008707
337,0.008641
338,0.008249
339,0.008270
340,0.008442
341,0.008281
342,0.008053
343,0.008206
344,0.008063
345,0.008346
346,0.008630
347,0.009314
348,0.008904
349,0.008691
350,0.008628
351,0.008780
352,0.008465
353,0.008346
354,0.008402
355,0.008494
356,0.008406
357,0.008402
358,0.008344
359,0.008333
360,0.008229
361,0.008504
362,0.008908
363,0.008284
364,0.008277
365,0.008492
366,0.008469
367,0.010940
368,0.010499
369,0.009644
370,0.009688
371,0.009288
372,0.008663
373,0.008410
374,0.008437
375,0.008210
376,0.008237
377,0.008312
378,0.008162
379,0.008394
380,0.008318
381,0.008932
382,0.008943
383,0.009019
384,0.008374
385,0.008036
386,0.007868
387,0.007987
388,0.008155
389,0.008555
390,0.008162
391,0.008840
392,0.011047
393,0.009547
394,0.009130
395,0.007986
396,0.008333
397,0.008115
398,0.008156
399,0.008073
400,0.007951
401,0.008073
402,0.008138
403,0.009390
404,0.009598
405,0.009039
406,0.008584
407,0.008116
408,0.008148
409,0.007926
410,0.008184
411,0.008058
412,0.008279
413,0.008166
414,0.008381
415,0.008411
416,0.008463
417,0.008783
418,0.008507
419,0.009096
420,0.008351
421,0.007942
422,0.008157
423,0.008144
424,0.007895
425,0.008798
426,0.008129
427,0.008150
428,0.007778
429,0.008227
