Epoch,Average Loss
1,0.248347
2,0.303950
3,0.305133
4,0.345171
5,0.334336
6,0.320492
7,0.321871
8,0.291939
9,0.297781
10,0.298128
11,0.292030
12,0.304882
13,0.322074
14,0.303700
15,0.313130
16,0.296874
17,0.317271
18,0.330938
19,0.326197
20,0.332147
21,0.323050
22,0.334460
23,0.314179
24,0.322663
25,0.308774
26,0.334762
27,0.301491
28,0.314400
29,0.301113
30,0.301433
31,0.295199
32,0.301049
33,0.293272
34,0.295734
35,0.300402
36,0.299383
37,0.302736
38,0.304511
39,0.294161
40,0.302768
41,0.300239
42,0.297424
43,0.301215
44,0.299861
45,0.294793
46,0.297418
47,0.302592
48,0.282521
49,0.309787
50,0.293290
51,0.298381
52,0.297535
53,0.299941
54,0.295539
55,0.303765
56,0.302906
57,0.296224
58,0.294025
59,0.297065
60,0.293432
61,0.291421
62,0.303347
63,0.295649
64,0.295214
65,0.294309
66,0.293673
67,0.294655
68,0.293804
69,0.294232
70,0.296486
71,0.295856
72,0.294992
73,0.294654
74,0.294661
75,0.290220
76,0.297754
77,0.296152
78,0.292712
79,0.290249
80,0.289495
81,0.289012
82,0.297197
83,0.288991
84,0.280459
85,0.341821
86,0.293434
87,0.294534
88,0.293475
89,0.287403
90,0.288441
91,0.289106
92,0.289335
93,0.287520
94,0.290782
95,0.289037
96,0.286478
97,0.300691
98,0.290105
99,0.290306
100,0.291468
101,0.289258
102,0.292289
103,0.288218
104,0.287259
105,0.296429
106,0.290893
107,0.290254
108,0.287894
109,0.287122
110,0.291276
111,0.288087
112,0.276297
113,0.303396
114,0.293920
115,0.287329
116,0.286375
117,0.285448
118,0.287937
119,0.288267
120,0.285773
121,0.288426
122,0.292008
123,0.290734
124,0.284264
125,0.286310
126,0.286437
127,0.285061
128,0.286963
129,0.281150
130,0.293994
131,0.287298
132,0.289408
133,0.286300
134,0.287474
135,0.287046
136,0.287341
137,0.289599
138,0.285933
139,0.285388
140,0.284372
141,0.282598
142,0.283220
143,0.277089
