Epoch,Average Loss
1,0.052669
2,0.036562
3,0.036596
4,0.036601
5,0.036595
6,0.036535
7,0.036394
8,0.036110
9,0.035578
10,0.034482
11,0.024767
12,0.030426
13,0.030957
14,0.032995
15,0.032960
16,0.029201
17,0.030195
18,0.027529
19,0.032508
20,0.033228
21,0.025591
22,0.035358
23,0.042428
24,0.023358
25,0.027109
26,0.037556
27,0.017950
28,0.034745
29,0.029741
30,0.027403
31,0.030674
32,0.028421
33,0.027808
34,0.036828
35,0.028162
36,0.035225
37,0.024418
38,0.032958
39,0.031893
40,0.030026
41,0.028756
42,0.023731
43,0.027573
44,0.032161
45,0.028756
46,0.031138
47,0.025226
48,0.012892
49,0.035016
50,0.026070
51,0.034593
52,0.021647
53,0.018722
54,0.019256
55,0.037235
56,0.039585
57,0.030094
58,0.020751
59,0.011229
60,0.026078
61,0.016573
62,0.039190
63,0.026036
64,0.011837
65,0.030624
66,0.017590
67,0.028910
68,0.030176
69,0.008217
70,0.009535
71,0.039033
72,0.033788
73,0.023519
74,0.020542
75,0.031465
76,0.014400
77,0.016692
78,0.011791
79,0.025409
80,0.027662
81,0.013849
82,0.025845
83,0.028156
84,0.024559
85,0.010375
86,0.005398
87,0.022449
88,0.014909
89,0.024594
90,0.026721
91,0.012260
92,0.023485
93,0.005926
94,0.021700
95,0.015369
96,0.018553
97,0.033284
98,0.017562
99,0.027326
100,0.017197
101,0.038626
102,0.021651
103,0.022988
104,0.008312
105,0.021876
106,0.008973
107,0.008349
108,0.012131
109,0.028279
110,0.020463
111,0.007156
112,0.022288
113,0.002584
114,0.010242
115,0.013353
116,0.004368
117,0.014554
118,0.009993
119,0.003607
120,0.006425
121,0.002323
122,0.025744
123,0.027681
124,0.003700
125,0.005813
126,0.013491
127,0.029983
128,0.027207
129,0.004821
130,0.026259
131,0.003498
132,0.012042
133,0.018296
134,0.001730
135,0.017867
136,0.009028
137,0.025459
138,0.013923
139,0.001506
140,0.019424
141,0.015992
142,0.001967
143,0.001431
144,0.008411
145,0.002113
146,0.007755
147,0.020165
148,0.006878
149,0.003875
150,0.008805
151,0.013027
152,0.003161
153,0.000736
154,0.003538
155,0.020171
156,0.018748
157,0.036232
158,0.032585
159,0.031682
160,0.021553
161,0.000941
162,0.021724
163,0.013274
164,0.004816
165,0.025891
166,0.002290
167,0.003413
168,0.016545
169,0.001380
170,0.011018
171,0.017242
172,0.004329
173,0.003319
174,0.005990
175,0.002800
176,0.001338
177,0.009693
178,0.002709
179,0.001016
180,0.005705
181,0.000342
182,0.009306
183,0.002504
184,0.007724
185,0.008076
186,0.001362
187,0.010344
188,0.027194
189,0.009807
190,0.027817
191,0.012291
192,0.014513
193,0.013084
194,0.030895
195,0.035909
196,0.028064
197,0.010305
198,0.028065
199,0.032308
200,0.022234
201,0.010392
202,0.035205
203,0.034774
204,0.001726
205,0.011823
206,0.016122
207,0.010982
208,0.001884
209,0.002076
210,0.015271
211,0.011647
212,0.002495
213,0.000854
214,0.019444
215,0.001174
216,0.009568
217,0.000578
218,0.013952
219,0.004677
220,0.000286
221,0.024822
222,0.010325
223,0.010826
224,0.010164
225,0.024919
226,0.026041
227,0.012985
228,0.004538
229,0.004024
230,0.015094
231,0.024631
232,0.028893
233,0.008785
234,0.010806
235,0.005064
236,0.007646
237,0.019805
238,0.001408
239,0.007753
240,0.007564
241,0.013182
242,0.007831
243,0.002992
244,0.017782
245,0.002177
246,0.025019
247,0.018514
248,0.028524
249,0.014325
250,0.022790
251,0.005778
252,0.016837
253,0.009771
254,0.015683
255,0.002421
256,0.012368
257,0.010076
258,0.008714
259,0.012348
260,0.002394
261,0.023476
262,0.010910
263,0.027301
264,0.005883
265,0.008889
266,0.011058
267,0.014422
268,0.005424
269,0.011192
270,0.030249
271,0.006711
272,0.002426
273,0.025540
274,0.016719
275,0.005777
276,0.027497
277,0.015192
278,0.006356
279,0.004287
280,0.014965
281,0.022092
282,0.011304
283,0.000617
284,0.004037
285,0.001717
286,0.015731
287,0.005715
288,0.018508
289,0.002073
290,0.015358
291,0.001634
292,0.000457
293,0.022745
294,0.001891
295,0.016885
296,0.015443
297,0.016047
298,0.004637
299,0.001389
300,0.017173
301,0.012247
302,0.000850
303,0.013614
304,0.018326
305,0.017294
306,0.001560
307,0.014375
308,0.000467
309,0.003028
310,0.001311
311,0.014589
312,0.023686
