Epoch,Average Loss
1,0.059337
2,0.069318
3,0.109406
4,0.100148
5,0.294492
6,0.095104
7,0.102820
8,0.091570
9,0.087522
10,0.085993
11,0.084553
12,0.083532
13,0.082795
14,0.082051
15,0.081103
16,0.080301
17,0.079623
18,0.078844
19,0.078384
20,0.077662
21,0.077012
22,0.076149
23,0.075823
24,0.075811
25,0.072833
26,0.075520
27,0.074895
28,0.074205
29,0.073989
30,0.072894
31,0.072175
32,0.072119
33,0.071085
34,0.071686
35,0.071486
36,0.070957
37,0.070101
38,0.070199
39,0.070398
40,0.069355
41,0.069221
42,0.068889
43,0.068370
44,0.068103
45,0.067667
46,0.066723
47,0.067421
48,0.067086
49,0.066661
50,0.066049
51,0.065777
52,0.065862
53,0.066087
54,0.065322
55,0.065462
56,0.064634
57,0.065082
58,0.064672
59,0.064261
60,0.063854
61,0.064203
62,0.064458
63,0.063593
64,0.063534
65,0.062964
66,0.062957
67,0.062949
68,0.062974
69,0.062070
70,0.062285
71,0.062278
72,0.062436
73,0.061294
74,0.061912
75,0.061341
76,0.061487
77,0.061239
78,0.061523
79,0.060520
80,0.060924
81,0.060163
82,0.061039
83,0.059985
84,0.060923
85,0.059602
86,0.060488
87,0.059342
88,0.060159
89,0.058836
90,0.059610
91,0.058122
92,0.059099
93,0.057729
94,0.058123
95,0.057549
96,0.057584
97,0.057540
98,0.057275
99,0.057491
100,0.056750
101,0.057124
102,0.056166
103,0.056875
104,0.056190
105,0.056686
106,0.056193
107,0.056581
108,0.055851
109,0.056347
110,0.055536
111,0.056261
112,0.055258
113,0.055937
114,0.055209
115,0.055940
116,0.055025
117,0.056012
118,0.054682
119,0.055655
120,0.054719
121,0.055515
122,0.054684
123,0.055481
124,0.054402
125,0.055021
126,0.055197
127,0.055387
128,0.054340
129,0.055482
130,0.054074
131,0.055072
132,0.054402
133,0.054904
134,0.054577
135,0.055068
136,0.054761
137,0.054971
138,0.054396
139,0.054834
140,0.054319
141,0.054388
142,0.054614
143,0.054723
144,0.054386
145,0.054562
146,0.054211
147,0.054582
148,0.054317
149,0.054252
150,0.054316
151,0.054068
152,0.053855
153,0.054752
154,0.053554
155,0.054136
156,0.053921
157,0.053846
158,0.053893
159,0.053804
160,0.053368
161,0.053919
162,0.053714
163,0.053595
164,0.053838
165,0.053500
166,0.053311
167,0.053954
168,0.053067
169,0.053776
170,0.053562
171,0.053429
172,0.053458
173,0.053269
174,0.052960
175,0.053520
176,0.052880
177,0.053370
178,0.053048
179,0.053380
180,0.053175
181,0.052870
182,0.053408
183,0.052395
184,0.052556
185,0.052120
186,0.052773
187,0.051940
188,0.052589
189,0.052348
190,0.052413
191,0.051855
192,0.052271
193,0.051843
194,0.052070
195,0.051790
196,0.051894
197,0.051688
198,0.051532
199,0.051369
200,0.051562
201,0.051476
202,0.051513
203,0.051478
204,0.051344
205,0.051217
206,0.051154
207,0.051273
208,0.051253
209,0.051070
210,0.051044
211,0.050750
212,0.050979
213,0.050761
214,0.050881
215,0.050709
216,0.050929
217,0.050477
218,0.050883
219,0.050467
220,0.050774
221,0.050384
222,0.050569
223,0.050179
224,0.050425
225,0.050208
226,0.050429
227,0.049928
228,0.050346
229,0.049904
230,0.050397
231,0.049973
232,0.050214
233,0.049681
234,0.050215
235,0.049572
236,0.050138
237,0.049578
238,0.049963
239,0.049445
240,0.049950
241,0.049447
242,0.049790
243,0.049280
244,0.049827
245,0.049289
246,0.049762
247,0.049286
248,0.049661
249,0.049129
250,0.049966
251,0.049148
252,0.049500
253,0.048907
254,0.049205
255,0.048816
256,0.049087
257,0.049416
258,0.049048
259,0.049355
260,0.048904
261,0.049108
262,0.048753
263,0.048980
264,0.048794
265,0.049055
266,0.048777
267,0.048977
268,0.048542
269,0.048443
270,0.048253
271,0.048007
272,0.047906
273,0.047835
274,0.048112
275,0.048205
276,0.048262
277,0.048345
278,0.048545
279,0.048518
280,0.048673
281,0.048370
282,0.048252
283,0.048217
284,0.048003
285,0.048706
286,0.048202
287,0.048798
288,0.048656
289,0.048152
290,0.047957
291,0.047689
292,0.047092
293,0.047663
294,0.047020
295,0.047113
296,0.048357
297,0.048283
298,0.047667
299,0.046757
300,0.046979
301,0.046999
302,0.047110
303,0.047337
304,0.047014
305,0.046454
306,0.046312
307,0.046179
308,0.046442
309,0.046609
310,0.046578
311,0.046184
312,0.046271
313,0.046419
314,0.045868
315,0.046755
316,0.046749
317,0.046064
318,0.046643
319,0.045534
320,0.045530
321,0.045301
322,0.045672
323,0.045022
324,0.045829
325,0.045475
326,0.045032
327,0.044454
328,0.044122
329,0.043867
330,0.043960
331,0.043988
332,0.043975
333,0.043895
334,0.043891
335,0.043582
336,0.043647
337,0.043199
338,0.043055
339,0.042946
340,0.042601
341,0.042378
342,0.042921
343,0.042848
344,0.042698
345,0.042034
346,0.041865
347,0.041715
348,0.041631
349,0.041281
350,0.041124
351,0.041006
352,0.040960
353,0.040820
354,0.040720
355,0.040655
356,0.040576
357,0.040451
358,0.040400
359,0.040246
360,0.040207
361,0.039969
362,0.039552
363,0.039277
364,0.039818
365,0.039845
366,0.039633
367,0.039521
368,0.038848
369,0.038457
370,0.038215
371,0.038045
372,0.037941
373,0.037848
374,0.037841
375,0.037579
376,0.037257
377,0.037568
378,0.037808
379,0.037746
380,0.037417
381,0.037860
382,0.037425
383,0.037332
384,0.037344
385,0.037654
386,0.037347
387,0.037478
388,0.036990
389,0.037111
390,0.037441
391,0.037528
392,0.037713
393,0.037398
394,0.037471
395,0.037254
396,0.036622
397,0.036267
398,0.036109
399,0.036114
400,0.036021
401,0.035825
402,0.035794
403,0.035790
404,0.035807
405,0.035862
406,0.035795
407,0.035972
408,0.035980
409,0.035809
410,0.035984
411,0.035652
412,0.035467
413,0.035733
414,0.036480
415,0.035449
416,0.035150
417,0.034467
418,0.034243
419,0.034115
420,0.034065
421,0.033829
422,0.034127
423,0.034182
424,0.034234
425,0.034235
426,0.033913
427,0.033675
428,0.033638
429,0.033458
430,0.034495
431,0.034481
432,0.034447
433,0.034348
434,0.033706
435,0.034043
436,0.033022
437,0.032741
438,0.032412
439,0.032688
440,0.033375
441,0.033592
442,0.033598
443,0.032547
444,0.032195
445,0.033013
446,0.033471
447,0.033005
448,0.032728
449,0.032133
450,0.031962
451,0.031769
452,0.031422
453,0.031547
454,0.032309
455,0.031647
456,0.031831
457,0.031557
458,0.031544
459,0.031544
460,0.031706
461,0.031500
462,0.032495
463,0.032875
464,0.032817
465,0.033902
466,0.032526
467,0.033062
468,0.032813
469,0.032455
470,0.032492
471,0.032802
472,0.033411
473,0.033165
474,0.032815
475,0.032728
476,0.033532
477,0.033450
478,0.032349
479,0.032084
480,0.031617
481,0.031395
482,0.031092
483,0.031539
484,0.031986
485,0.031550
486,0.031084
487,0.031384
488,0.031860
489,0.032124
490,0.031960
491,0.032035
492,0.031107
493,0.030837
494,0.030497
495,0.030266
496,0.030032
497,0.029795
498,0.029865
499,0.030996
500,0.030459
501,0.030752
502,0.030175
503,0.030813
504,0.031103
505,0.031206
506,0.032009
507,0.031276
508,0.030764
509,0.030037
510,0.030158
511,0.029840
512,0.030009
513,0.029638
514,0.030085
515,0.029676
516,0.029759
517,0.029040
518,0.029618
519,0.029590
520,0.029415
521,0.029405
522,0.029623
523,0.029670
524,0.029421
525,0.029445
526,0.029938
527,0.029404
528,0.031642
529,0.033614
530,0.032171
531,0.034863
532,0.036453
533,0.034640
534,0.034194
535,0.031709
536,0.032215
537,0.030937
538,0.031024
539,0.031514
540,0.030922
541,0.031096
542,0.031182
543,0.031113
544,0.032768
545,0.034004
546,0.032554
547,0.031260
548,0.031200
549,0.031865
550,0.031429
551,0.031672
552,0.031052
553,0.030851
554,0.031332
555,0.032657
556,0.033269
557,0.033451
558,0.033584
559,0.033402
560,0.032660
561,0.032071
562,0.031779
563,0.031992
564,0.031872
565,0.033106
566,0.034396
567,0.032937
568,0.032140
569,0.032544
570,0.031918
571,0.032962
572,0.032727
573,0.031499
574,0.030507
575,0.030761
576,0.030305
577,0.030126
578,0.030127
579,0.030205
580,0.030866
581,0.030370
582,0.030692
583,0.031278
584,0.031200
585,0.030481
586,0.030720
587,0.030584
588,0.030960
589,0.030728
590,0.030613
591,0.030577
592,0.030797
593,0.030537
594,0.031456
595,0.031807
596,0.031966
597,0.031699
598,0.031156
599,0.030331
600,0.032178
601,0.031447
602,0.030460
603,0.034411
604,0.032271
605,0.036336
606,0.032285
607,0.031987
608,0.030841
609,0.031031
610,0.032051
611,0.030704
612,0.030585
613,0.029694
614,0.030642
615,0.030123
616,0.030318
617,0.029734
618,0.030007
619,0.029715
620,0.030033
621,0.029717
622,0.030605
623,0.029513
