Epoch,Average Loss
1,0.009378
2,0.007221
3,0.005794
4,0.005509
5,0.005392
6,0.005297
7,0.005228
8,0.005144
9,0.004985
10,0.004784
11,0.004764
12,0.004307
13,0.004054
14,0.003883
15,0.003827
16,0.003857
17,0.003925
18,0.003874
19,0.003734
20,0.003701
21,0.003694
22,0.003676
23,0.003610
24,0.003655
25,0.003488
26,0.003623
27,0.003455
28,0.003470
29,0.003414
30,0.003446
31,0.003363
32,0.003404
33,0.003348
34,0.003362
35,0.003307
36,0.003394
37,0.003296
38,0.003287
39,0.003301
40,0.003257
41,0.003253
42,0.003261
43,0.003232
44,0.003270
45,0.003222
46,0.003194
47,0.003179
48,0.003275
49,0.003221
50,0.003284
51,0.003194
52,0.003351
53,0.003312
54,0.003319
55,0.003247
56,0.003322
57,0.003385
58,0.003491
59,0.003385
60,0.003554
61,0.003370
62,0.003574
63,0.003445
64,0.003373
65,0.003248
66,0.003396
67,0.003304
68,0.003520
69,0.003437
70,0.003281
71,0.003227
72,0.003228
73,0.003207
74,0.003163
75,0.003155
76,0.003129
77,0.003218
78,0.003184
79,0.003139
80,0.003130
81,0.003144
82,0.003131
83,0.003218
84,0.003252
85,0.003156
86,0.003115
87,0.003100
88,0.003073
89,0.003137
90,0.003082
91,0.003232
92,0.003169
93,0.003089
94,0.003069
95,0.003092
96,0.003075
97,0.003092
98,0.003104
99,0.003128
100,0.003082
101,0.003106
102,0.003100
103,0.003184
104,0.003145
105,0.003050
106,0.003053
107,0.003000
108,0.003016
109,0.003092
110,0.003091
111,0.003160
112,0.003110
113,0.003132
114,0.003144
115,0.003012
116,0.002999
117,0.003007
118,0.003046
119,0.003098
120,0.003134
121,0.003032
122,0.002957
123,0.002973
124,0.002959
125,0.002972
126,0.002988
127,0.003023
128,0.002968
129,0.003033
130,0.002990
131,0.002993
132,0.002970
133,0.002981
134,0.002993
135,0.003013
136,0.003006
137,0.002961
138,0.002985
139,0.003134
140,0.003049
141,0.002965
142,0.002942
143,0.002943
144,0.002928
145,0.002929
146,0.002907
147,0.002893
148,0.002887
149,0.002918
150,0.003009
151,0.003081
152,0.002990
153,0.002978
154,0.002902
155,0.002894
156,0.002899
157,0.002903
158,0.002904
159,0.002924
160,0.002926
161,0.002939
162,0.002967
163,0.002969
164,0.002917
165,0.003107
166,0.003026
167,0.002935
168,0.002868
169,0.002985
170,0.002918
171,0.002906
172,0.002885
173,0.002897
174,0.002885
175,0.002869
176,0.002927
177,0.002885
178,0.002891
179,0.002828
180,0.002943
181,0.002979
182,0.002889
183,0.002835
184,0.002828
185,0.002812
186,0.002805
187,0.002797
188,0.002784
189,0.002847
190,0.002923
191,0.002984
192,0.003104
193,0.003003
194,0.003053
195,0.002850
196,0.003200
197,0.003210
198,0.003100
199,0.003016
200,0.002876
201,0.002911
202,0.002945
203,0.002829
204,0.002880
205,0.002954
206,0.002900
207,0.003014
208,0.003043
209,0.003015
210,0.002874
211,0.002864
212,0.002864
213,0.002882
214,0.002864
215,0.002968
216,0.002876
217,0.002867
218,0.002890
219,0.002916
220,0.002882
221,0.002891
222,0.003303
223,0.002957
224,0.003051
225,0.003034
226,0.002853
227,0.002754
228,0.002759
229,0.002770
230,0.002781
231,0.002815
232,0.002836
233,0.002789
234,0.002786
235,0.002842
236,0.002795
237,0.002814
238,0.002782
239,0.002842
240,0.002806
241,0.002842
242,0.002829
243,0.002835
244,0.002854
245,0.002906
246,0.003148
247,0.003096
248,0.002865
249,0.002906
250,0.002932
251,0.002787
252,0.002835
253,0.002823
254,0.002860
255,0.002889
256,0.002819
257,0.002798
258,0.002796
259,0.002799
260,0.002877
261,0.002878
262,0.002957
263,0.002912
264,0.002803
265,0.002815
266,0.002787
267,0.002775
268,0.002796
269,0.002746
270,0.002761
271,0.002793
272,0.002768
273,0.002795
274,0.002786
275,0.002861
276,0.002868
277,0.002796
278,0.002734
279,0.002790
280,0.002829
281,0.002765
282,0.002811
283,0.002752
284,0.002799
285,0.002796
286,0.002774
287,0.002783
288,0.002756
289,0.002732
290,0.002750
291,0.002768
292,0.002758
293,0.002779
294,0.002753
295,0.002763
296,0.002766
297,0.002768
298,0.002827
299,0.002849
300,0.003189
301,0.003103
302,0.002805
303,0.002835
304,0.002805
305,0.002783
306,0.002715
307,0.002811
308,0.002765
309,0.002777
310,0.002753
311,0.002747
312,0.002868
313,0.002775
314,0.002782
315,0.002727
316,0.002751
317,0.002746
318,0.002701
319,0.002672
320,0.002642
321,0.002753
322,0.002700
323,0.002830
324,0.002804
325,0.002659
326,0.002747
327,0.002694
328,0.002799
329,0.002834
330,0.002716
331,0.002726
332,0.002718
333,0.002704
334,0.002760
335,0.002709
336,0.002751
337,0.002608
338,0.002621
339,0.002610
340,0.002643
341,0.002789
342,0.002765
343,0.002751
344,0.002725
345,0.002744
346,0.002569
347,0.002582
348,0.002638
349,0.002715
350,0.002809
351,0.002863
352,0.003119
353,0.002839
354,0.002771
355,0.002630
356,0.002753
357,0.002628
358,0.002695
359,0.002743
360,0.002863
361,0.002920
362,0.002905
363,0.002709
364,0.002685
365,0.002697
366,0.002852
367,0.003165
368,0.003074
369,0.002971
370,0.002907
371,0.002929
372,0.002769
373,0.002820
374,0.002793
375,0.002887
376,0.002723
377,0.002735
378,0.002688
379,0.002668
380,0.002647
381,0.002635
382,0.002687
383,0.002645
384,0.002711
385,0.002774
386,0.002959
387,0.002915
388,0.002760
389,0.002651
390,0.002677
391,0.002618
392,0.002646
393,0.002706
394,0.002701
395,0.002729
396,0.002818
397,0.002749
398,0.002869
399,0.002964
400,0.002795
401,0.002845
402,0.002901
403,0.002877
404,0.002749
405,0.002925
406,0.002820
407,0.002818
408,0.002804
409,0.002824
410,0.002775
411,0.002840
412,0.002728
413,0.002824
414,0.002679
415,0.002896
416,0.002731
417,0.002677
418,0.002715
419,0.002678
420,0.002711
421,0.002748
422,0.002813
423,0.002887
424,0.002715
425,0.002710
426,0.002647
427,0.002694
428,0.002787
429,0.002721
430,0.002714
431,0.002868
432,0.002671
433,0.002784
434,0.002757
435,0.002722
436,0.002992
437,0.002953
438,0.002865
439,0.002857
440,0.002774
441,0.002770
442,0.002791
443,0.002911
444,0.002807
445,0.002752
446,0.002845
447,0.002788
448,0.002840
449,0.002720
450,0.002822
451,0.002749
452,0.002745
453,0.002776
454,0.002713
455,0.002690
456,0.002671
457,0.002683
458,0.002783
459,0.002674
460,0.002598
461,0.002636
462,0.002710
463,0.002915
464,0.002708
465,0.002772
466,0.002770
467,0.002684
468,0.002791
469,0.002702
470,0.002690
471,0.002695
472,0.002684
473,0.002678
474,0.002608
475,0.002709
476,0.002911
477,0.002744
478,0.002678
479,0.002720
480,0.002586
481,0.002633
482,0.002678
483,0.002682
484,0.002628
485,0.002885
486,0.002763
487,0.002726
488,0.002710
489,0.002594
490,0.002710
491,0.002621
492,0.002671
493,0.002592
494,0.002698
495,0.002673
496,0.002715
497,0.002595
498,0.002532
499,0.002513
500,0.002668
501,0.002707
502,0.002866
503,0.002809
504,0.002733
505,0.002573
506,0.002548
507,0.002502
508,0.002665
509,0.002595
510,0.002844
511,0.002864
512,0.002718
513,0.002620
514,0.002601
515,0.002551
516,0.002560
517,0.002419
518,0.002597
519,0.002690
520,0.002529
521,0.002868
522,0.002722
523,0.002657
524,0.002747
525,0.002599
526,0.002575
527,0.002548
528,0.002575
529,0.002604
530,0.002583
531,0.002635
532,0.002521
533,0.002602
534,0.002535
535,0.002830
536,0.002812
537,0.002750
538,0.002644
539,0.002682
540,0.002608
541,0.002691
542,0.002598
543,0.002670
544,0.002621
545,0.002538
546,0.002580
547,0.002584
548,0.002554
549,0.002470
550,0.002737
551,0.002718
552,0.002581
553,0.002642
554,0.002596
555,0.002463
556,0.002468
557,0.002520
558,0.002567
559,0.002513
560,0.002612
561,0.002548
562,0.002576
563,0.002496
564,0.002433
565,0.002528
566,0.002683
567,0.002673
568,0.002533
569,0.002472
570,0.002489
571,0.002535
572,0.002524
573,0.002418
574,0.002592
575,0.002661
576,0.002489
577,0.002668
578,0.002547
579,0.002454
580,0.002529
581,0.002527
582,0.002540
583,0.002477
584,0.002385
585,0.002502
586,0.002615
587,0.002623
588,0.002560
589,0.002587
590,0.002553
591,0.002534
592,0.002515
593,0.002484
594,0.002525
595,0.002447
596,0.002466
597,0.002444
598,0.002626
599,0.002656
600,0.002477
601,0.002566
602,0.002506
603,0.002513
604,0.002478
605,0.002570
606,0.002552
607,0.002537
608,0.002652
609,0.002662
610,0.002590
611,0.002647
612,0.002564
613,0.002565
614,0.002587
615,0.002674
616,0.002610
617,0.002477
618,0.002513
619,0.002469
620,0.002578
621,0.002496
622,0.002559
623,0.002526
624,0.002707
625,0.002728
626,0.002749
627,0.002652
628,0.002593
629,0.002593
630,0.002484
631,0.002484
632,0.002660
633,0.002491
634,0.002465
635,0.002474
636,0.002459
637,0.002446
638,0.002514
639,0.002552
640,0.002631
641,0.002644
642,0.002650
643,0.002596
644,0.002449
645,0.002401
646,0.002416
647,0.002434
648,0.002411
649,0.002479
650,0.002615
651,0.002875
652,0.003094
653,0.002860
654,0.002744
655,0.002684
656,0.002703
657,0.002475
658,0.002503
659,0.002511
660,0.002503
661,0.002578
662,0.002535
663,0.002494
664,0.002802
665,0.002962
666,0.002969
667,0.002693
668,0.002632
669,0.002500
670,0.002492
671,0.002564
672,0.002543
673,0.002695
674,0.002592
675,0.002569
676,0.002493
677,0.002499
678,0.002465
679,0.002472
680,0.002502
681,0.002463
682,0.002428
683,0.002542
684,0.002565
685,0.002456
686,0.002418
687,0.002449
688,0.002455
689,0.002519
690,0.002473
691,0.002647
692,0.002632
693,0.002759
694,0.002640
695,0.002544
696,0.002664
697,0.002534
698,0.002578
699,0.002513
700,0.002572
701,0.002483
702,0.002419
703,0.002498
704,0.002443
705,0.002442
706,0.002451
707,0.002388
708,0.002434
709,0.002637
710,0.002514
711,0.002407
712,0.002506
713,0.002481
714,0.002410
715,0.002387
716,0.002412
717,0.002414
718,0.002488
719,0.002441
720,0.002444
721,0.002388
722,0.002333
723,0.002661
724,0.002883
725,0.003120
726,0.002463
727,0.002371
728,0.002291
729,0.002550
730,0.002889
731,0.002801
732,0.002565
733,0.002510
734,0.002474
735,0.002411
736,0.002657
737,0.002573
738,0.002463
739,0.002328
740,0.002390
741,0.002364
742,0.002346
743,0.002278
744,0.002395
745,0.002457
746,0.002370
747,0.002409
748,0.002268
749,0.002501
750,0.002444
751,0.002318
752,0.002319
753,0.002263
754,0.002396
755,0.002732
756,0.002407
757,0.002421
758,0.002472
759,0.002822
760,0.002813
761,0.002582
762,0.002522
763,0.002529
764,0.002570
765,0.002656
766,0.002626
767,0.002585
768,0.002614
769,0.002495
770,0.002376
771,0.002504
772,0.002500
773,0.002542
774,0.002594
775,0.002507
776,0.002427
777,0.002453
778,0.002377
779,0.002419
780,0.002476
781,0.002431
782,0.002394
783,0.002563
784,0.002568
785,0.002593
786,0.002480
787,0.002503
788,0.002409
789,0.002405
790,0.002430
791,0.002531
792,0.002430
793,0.002286
794,0.002380
795,0.002419
796,0.002459
797,0.002479
798,0.002449
799,0.002476
800,0.002430
801,0.002458
802,0.002331
803,0.002526
804,0.002530
805,0.002429
806,0.002396
807,0.002529
808,0.002482
809,0.002326
810,0.002452
811,0.002510
812,0.002438
813,0.002390
814,0.002374
815,0.002362
816,0.002260
817,0.002261
818,0.002397
819,0.002630
820,0.002375
821,0.002676
822,0.002471
823,0.002492
824,0.002414
825,0.002441
826,0.002493
827,0.002783
828,0.002677
829,0.002491
830,0.002471
831,0.002474
832,0.002454
833,0.002696
834,0.002581
835,0.002435
836,0.002554
837,0.002444
838,0.002479
839,0.002547
840,0.002433
841,0.002358
842,0.002435
843,0.002543
844,0.002771
845,0.002847
846,0.002627
847,0.002507
848,0.002562
849,0.002613
850,0.002559
851,0.002428
852,0.002446
853,0.002551
854,0.002695
855,0.002516
856,0.002536
857,0.002551
858,0.002547
859,0.002376
860,0.002419
861,0.002485
862,0.002601
863,0.002602
864,0.002659
865,0.002936
866,0.003036
867,0.002655
868,0.002622
869,0.002723
870,0.002613
871,0.003100
872,0.002706
873,0.002760
874,0.002619
875,0.002570
876,0.002570
877,0.002673
878,0.002633
879,0.002646
880,0.002775
881,0.002649
882,0.002674
883,0.002532
884,0.002509
885,0.002539
886,0.002473
887,0.002424
888,0.002471
889,0.002725
890,0.002721
891,0.002834
892,0.003017
893,0.002694
894,0.002615
895,0.002544
896,0.002484
897,0.002521
898,0.002640
899,0.002660
900,0.002607
901,0.002592
902,0.002594
903,0.002621
904,0.002836
905,0.002671
906,0.002507
907,0.002767
908,0.002780
909,0.002858
910,0.002830
911,0.002853
912,0.003567
913,0.003285
914,0.002943
915,0.002892
916,0.002980
917,0.002806
918,0.002842
919,0.002943
920,0.002887
921,0.002823
922,0.002850
923,0.002925
924,0.002756
925,0.002831
926,0.002841
927,0.003168
928,0.002999
929,0.003091
930,0.003075
931,0.003174
932,0.002908
933,0.003003
934,0.002899
935,0.002812
936,0.002786
937,0.002730
938,0.002898
939,0.002861
940,0.003008
941,0.002976
942,0.002816
943,0.002838
944,0.003018
945,0.003008
946,0.003023
947,0.002804
948,0.002885
949,0.002688
950,0.002741
951,0.002961
952,0.002843
953,0.002697
954,0.002935
955,0.002760
956,0.002743
957,0.002697
958,0.002618
959,0.002683
960,0.002653
961,0.002859
962,0.002770
963,0.002602
964,0.002598
965,0.002667
966,0.002636
967,0.002907
968,0.003247
969,0.002702
970,0.002762
971,0.002704
972,0.002721
973,0.002674
974,0.003180
975,0.002894
976,0.002817
977,0.002698
978,0.002765
979,0.002653
980,0.002587
981,0.002713
982,0.002584
983,0.002660
984,0.002585
985,0.002740
986,0.002813
987,0.002851
988,0.002726
989,0.002875
990,0.002776
991,0.002759
992,0.002729
993,0.002891
994,0.002806
995,0.002768
996,0.002712
997,0.002871
998,0.002765
999,0.002713
1000,0.002664
