Epoch,Average Loss
1,0.008048
2,0.013267
3,0.006815
4,0.005623
5,0.004649
6,0.004618
7,0.004225
8,0.003984
9,0.003349
10,0.003330
11,0.003020
12,0.002852
13,0.002733
14,0.002624
15,0.002574
16,0.002366
17,0.002213
18,0.002185
19,0.002230
20,0.002041
21,0.001968
22,0.002059
23,0.001874
24,0.001693
25,0.001810
26,0.001754
27,0.001400
28,0.001918
29,0.004699
30,0.002048
31,0.001432
32,0.001110
33,0.001180
34,0.001407
35,0.001395
36,0.001317
37,0.001322
38,0.001430
39,0.001328
40,0.001306
41,0.001539
42,0.001159
43,0.001090
44,0.001226
45,0.001217
46,0.001628
47,0.001826
48,0.001151
49,0.000716
50,0.000892
51,0.001105
52,0.001550
53,0.001982
54,0.000874
55,0.000678
56,0.000854
57,0.001007
58,0.000993
59,0.001519
60,0.000986
61,0.000672
62,0.000848
63,0.001213
64,0.001729
65,0.001184
66,0.000767
67,0.000681
68,0.000810
69,0.000895
70,0.001038
71,0.001388
72,0.000710
73,0.000722
74,0.001017
75,0.000823
76,0.000776
77,0.001058
78,0.001062
79,0.001246
80,0.000702
81,0.000800
82,0.001007
83,0.000821
84,0.000921
85,0.001224
86,0.000834
87,0.001076
88,0.001167
89,0.000827
90,0.000788
91,0.000779
92,0.000912
93,0.001087
94,0.000890
95,0.000947
96,0.001108
97,0.000833
98,0.000929
99,0.000872
100,0.000914
101,0.000891
102,0.000808
103,0.000904
104,0.001030
105,0.000934
106,0.000769
107,0.000915
108,0.000998
109,0.001017
110,0.000683
111,0.000948
112,0.000971
113,0.001105
114,0.000832
115,0.000671
116,0.000785
117,0.000965
118,0.000963
119,0.000815
120,0.001040
121,0.000809
122,0.000927
123,0.000868
124,0.000872
125,0.000992
126,0.000842
127,0.000781
128,0.000901
129,0.000754
130,0.001006
131,0.001198
132,0.000841
133,0.001356
134,0.000755
135,0.000700
136,0.000931
137,0.000948
138,0.000722
139,0.000981
140,0.001043
141,0.000713
142,0.000821
143,0.000781
144,0.000781
145,0.000915
146,0.000675
147,0.000718
148,0.000967
149,0.001139
150,0.000804
151,0.000971
152,0.001076
153,0.000940
154,0.000738
155,0.000847
156,0.000807
157,0.000759
158,0.000679
159,0.000847
160,0.000925
161,0.001036
162,0.000851
163,0.000708
164,0.000684
165,0.000978
166,0.000871
167,0.000916
168,0.000846
169,0.000684
170,0.000936
171,0.000749
172,0.000728
173,0.000817
174,0.000815
175,0.000680
