Epoch,Average Loss
1,0.031438
2,0.007870
3,0.006516
4,0.003779
5,0.003634
6,0.003978
7,0.003144
8,0.004662
9,0.003209
10,0.005039
11,0.003042
12,0.002778
13,0.003738
14,0.002299
15,0.004272
16,0.002061
17,0.003183
18,0.002484
19,0.001810
20,0.003180
21,0.001879
22,0.002706
23,0.001453
24,0.002107
25,0.001410
26,0.002899
27,0.002091
28,0.001611
29,0.001279
30,0.001697
31,0.001332
32,0.001660
33,0.001299
34,0.001426
35,0.001443
36,0.001399
37,0.001329
38,0.001218
39,0.001545
40,0.001511
41,0.001664
42,0.001058
43,0.001356
44,0.001524
45,0.001135
46,0.001096
47,0.001276
48,0.001594
49,0.001462
50,0.000920
51,0.000963
52,0.001204
53,0.001131
54,0.001546
55,0.001897
56,0.001388
57,0.001500
58,0.001200
59,0.001216
60,0.001468
61,0.001089
62,0.001148
63,0.001395
64,0.001058
65,0.001133
66,0.001328
67,0.001112
68,0.001010
69,0.001100
70,0.001099
71,0.001203
72,0.001159
73,0.001206
74,0.001348
75,0.001102
76,0.001085
77,0.001185
78,0.001098
79,0.001145
80,0.001032
81,0.001141
82,0.001084
83,0.001129
84,0.001112
85,0.001051
86,0.001213
87,0.001165
88,0.001015
89,0.000957
90,0.001016
91,0.000997
92,0.001107
93,0.000943
94,0.001194
95,0.001114
96,0.001198
97,0.001050
98,0.001039
99,0.000953
100,0.000865
101,0.001036
102,0.001097
103,0.000946
104,0.000958
105,0.001253
106,0.000943
107,0.000852
108,0.001028
109,0.000754
110,0.000945
111,0.001138
112,0.000800
113,0.000961
114,0.000909
115,0.001093
116,0.001057
117,0.001056
118,0.000859
119,0.000949
120,0.000881
121,0.000896
122,0.000922
123,0.000906
124,0.000901
125,0.000977
126,0.000912
127,0.001066
128,0.000918
129,0.000936
130,0.000918
131,0.000886
132,0.000852
133,0.000825
134,0.000830
135,0.000788
136,0.000923
137,0.001079
138,0.001075
139,0.000916
140,0.000895
141,0.000714
142,0.000683
143,0.000833
144,0.000734
145,0.000852
146,0.000738
147,0.001125
148,0.000912
149,0.000796
150,0.000803
151,0.000950
152,0.000909
153,0.000793
154,0.000841
155,0.000797
156,0.000697
157,0.000926
158,0.000681
159,0.000750
160,0.000889
161,0.000877
162,0.000681
163,0.000771
164,0.000997
165,0.000907
166,0.000715
167,0.000799
168,0.000770
169,0.000630
170,0.000748
171,0.000834
172,0.000803
173,0.000730
174,0.000946
175,0.000892
176,0.000796
177,0.000660
178,0.000737
179,0.000751
180,0.000730
181,0.000719
182,0.000745
183,0.000654
184,0.000899
185,0.000701
186,0.000670
187,0.000814
188,0.000775
189,0.000956
190,0.000756
191,0.000704
192,0.000721
193,0.000785
194,0.000745
195,0.000641
196,0.000734
197,0.000865
198,0.000678
199,0.000834
200,0.000662
201,0.000629
202,0.000822
203,0.000884
204,0.000638
205,0.000694
206,0.000851
207,0.000920
208,0.000636
209,0.000759
210,0.000705
211,0.000690
212,0.000797
213,0.000619
214,0.000753
215,0.000725
216,0.000724
217,0.000920
218,0.001728
219,0.000817
220,0.000671
221,0.000586
222,0.000662
223,0.000683
224,0.000713
225,0.000782
226,0.000683
227,0.000761
228,0.000562
229,0.000830
230,0.000723
231,0.000864
232,0.000557
233,0.000656
234,0.000812
235,0.000777
236,0.001424
237,0.000703
238,0.000820
239,0.000719
240,0.000762
241,0.000738
242,0.000699
243,0.000708
244,0.000724
245,0.000717
246,0.000714
247,0.000840
248,0.000674
249,0.000717
250,0.000652
251,0.000942
252,0.000621
253,0.000863
254,0.000811
255,0.000517
256,0.000791
257,0.000962
258,0.000799
259,0.000832
260,0.000896
261,0.000862
262,0.000703
263,0.000669
264,0.000662
265,0.000609
266,0.000622
267,0.000762
268,0.000740
269,0.000856
270,0.000722
271,0.000782
272,0.000817
273,0.000694
274,0.000805
275,0.000826
276,0.000836
277,0.000622
278,0.000593
279,0.000765
280,0.000695
281,0.000906
282,0.000783
283,0.000721
284,0.000839
285,0.000705
286,0.000627
287,0.000681
288,0.000756
289,0.000699
290,0.000828
291,0.001171
292,0.000667
293,0.000598
294,0.000679
295,0.000800
296,0.000566
297,0.000687
298,0.000714
299,0.000695
300,0.000813
301,0.000743
302,0.000595
303,0.000634
304,0.000936
305,0.000974
306,0.000900
307,0.000685
308,0.000609
309,0.000738
310,0.000685
311,0.000811
312,0.000640
313,0.000811
314,0.000801
315,0.000882
316,0.000747
317,0.000904
318,0.000664
319,0.000568
320,0.000673
321,0.000646
322,0.001112
323,0.000560
324,0.000564
325,0.000673
326,0.001057
327,0.000653
328,0.000707
329,0.000732
330,0.000715
331,0.000565
332,0.000696
333,0.000638
334,0.000941
335,0.000695
336,0.000698
337,0.000678
338,0.000898
339,0.000650
340,0.000614
341,0.000843
342,0.000776
343,0.000645
344,0.000627
345,0.000917
346,0.000571
347,0.000660
348,0.000693
349,0.000986
350,0.000870
351,0.000675
352,0.000592
353,0.000698
354,0.000774
355,0.000654
356,0.000661
357,0.000571
358,0.000815
359,0.000780
360,0.000633
361,0.000774
362,0.000910
363,0.000771
364,0.000557
365,0.000544
366,0.000674
367,0.001170
368,0.000869
369,0.000544
370,0.000554
371,0.000572
372,0.000880
373,0.001043
374,0.000565
375,0.000598
376,0.000626
377,0.000707
378,0.000766
379,0.001050
380,0.000677
381,0.000554
382,0.000716
383,0.000756
384,0.000669
385,0.000805
386,0.000937
387,0.000774
388,0.000639
389,0.000614
390,0.000609
391,0.000707
392,0.000650
393,0.000911
394,0.000833
395,0.000731
396,0.000744
397,0.000570
398,0.000607
399,0.000732
400,0.000988
401,0.000641
402,0.000553
403,0.000824
404,0.000743
405,0.000556
406,0.000580
407,0.000857
408,0.000933
409,0.000667
410,0.000578
411,0.000840
412,0.000661
413,0.000825
414,0.000715
415,0.000739
416,0.000656
417,0.000704
418,0.000679
419,0.000612
420,0.000710
421,0.000954
422,0.000709
423,0.000509
424,0.000576
425,0.000782
426,0.000646
427,0.000767
428,0.000760
429,0.000523
430,0.000872
431,0.000708
432,0.000632
433,0.000605
434,0.000824
435,0.000669
436,0.000627
437,0.000849
438,0.000655
439,0.000529
440,0.000877
441,0.000718
442,0.000665
443,0.000715
444,0.000764
445,0.000662
446,0.000556
447,0.000786
448,0.000686
449,0.000677
450,0.000650
451,0.000942
452,0.000720
453,0.000663
454,0.000637
455,0.000721
456,0.000671
457,0.000735
458,0.000654
459,0.000814
460,0.000606
461,0.000588
