Epoch,Average Loss
1,51.904427
2,26.333417
3,12.844894
4,7.908940
5,6.936997
6,6.666958
7,6.638956
8,6.746285
9,6.674168
10,6.815663
11,6.404695
12,6.740900
13,6.641425
14,6.553645
15,6.689539
16,6.345464
17,6.600836
18,6.602483
19,6.499077
20,6.669037
21,6.360795
22,6.548652
23,6.622731
24,6.310350
25,6.574746
26,6.464491
27,6.598684
28,6.293397
29,6.536848
30,6.573421
31,6.285554
32,6.516708
33,6.569273
34,6.268153
35,6.504851
36,6.575765
37,6.265850
38,6.494097
39,6.503977
40,6.528144
41,6.243732
42,6.513820
43,6.402811
44,6.508275
45,6.209874
46,6.481775
47,6.412973
48,6.489733
49,6.236845
50,6.463478
51,6.350911
52,6.497540
53,6.301992
54,6.484548
55,6.344151
56,6.493062
57,6.376664
58,6.478237
59,6.425472
60,6.501920
61,6.394352
62,6.409039
63,6.668304
64,6.695493
65,6.424986
66,6.533455
67,6.463641
68,6.437632
69,6.404780
70,6.487523
71,6.300986
72,6.469121
73,6.344586
74,6.377045
75,6.548232
76,6.580466
77,6.501840
78,6.426426
79,6.444394
80,6.299428
81,6.366262
82,6.497444
83,6.397299
84,6.469621
85,6.378485
86,6.363665
87,6.410325
88,6.562042
89,6.539951
90,6.442673
91,6.438904
92,6.362076
93,6.376452
94,6.432394
95,6.626750
96,6.490491
97,6.491067
98,6.359305
99,6.394381
100,6.369696
101,6.636870
102,6.396865
103,6.574745
104,6.479390
105,6.365914
106,6.476947
107,6.397386
108,6.425956
109,6.391690
110,6.474348
111,6.395047
112,6.439539
113,6.338877
114,6.443177
115,6.418636
116,6.409580
117,6.419448
118,6.408879
119,6.427825
120,6.445353
121,6.368688
122,6.363614
123,6.530948
124,6.351827
125,6.377089
126,6.630240
127,6.434583
128,6.426836
129,6.453815
130,6.265954
131,6.496024
132,6.397772
133,6.373341
134,6.469319
135,6.428674
136,6.389479
137,6.444727
138,6.406924
139,6.404078
140,6.396927
141,6.406728
142,6.457699
143,6.294779
144,6.454455
145,6.336682
146,6.458296
147,6.381316
148,6.411620
149,6.362647
150,6.464581
151,6.390381
152,6.389130
153,6.331311
154,6.732368
155,6.398644
156,6.461568
157,6.354385
158,6.408385
159,6.295466
160,6.508878
161,6.448451
162,6.426600
163,6.332341
164,6.376810
