Epoch,Average Loss
1,1.525001
2,1.297455
3,1.238429
4,1.188014
5,1.151016
6,1.125737
7,1.108693
8,1.098192
9,1.089702
10,1.082253
11,1.075496
12,1.068748
13,1.060014
14,1.049823
15,1.043331
16,1.044117
17,1.045983
18,1.031821
19,1.026424
20,1.018821
21,1.026828
22,1.005494
23,1.001564
24,0.997684
25,1.002089
26,0.993320
27,0.989908
28,0.996816
29,0.979930
30,0.999039
31,0.979852
32,0.959025
33,0.969001
34,0.962893
35,0.973501
36,0.947769
37,0.963244
38,1.050912
39,1.041295
40,0.989059
41,1.037095
42,1.014531
43,1.016511
44,0.989938
45,0.966114
46,0.959391
47,0.968728
48,0.997188
49,0.985534
50,0.981255
51,0.951275
52,0.951258
53,0.934371
54,0.939533
55,0.931028
56,0.925356
57,0.919982
58,0.907223
59,0.929403
60,0.905934
61,0.914500
62,0.898450
63,0.898154
64,0.916559
65,0.918984
66,0.885578
67,0.899174
68,0.885097
69,0.919076
70,0.976935
71,0.929454
72,0.898103
73,0.882737
74,0.878874
75,0.862980
76,0.875874
77,0.881184
78,0.911462
79,0.917967
80,0.871925
81,0.911918
82,0.870735
83,0.893035
84,0.912025
85,0.912532
86,0.950869
87,0.898191
88,0.872922
89,0.885500
90,0.897606
91,0.894169
92,0.836301
93,0.840680
94,0.868658
95,0.822518
96,0.820021
97,0.806541
98,0.807555
99,0.811355
100,0.786030
101,0.772555
102,0.757672
103,0.750328
104,0.740446
105,0.740497
106,0.789513
107,0.791618
108,0.730746
109,0.765070
110,0.750805
111,0.748762
112,0.837007
113,0.886655
114,0.809507
115,0.782626
116,0.846787
117,0.816412
118,0.755773
119,0.783433
120,0.845345
121,0.849562
122,0.803339
123,0.757843
124,0.754748
125,0.737142
126,0.716060
127,0.720879
128,0.677795
129,0.672072
130,0.662383
131,0.664534
132,0.668053
133,0.673389
134,0.655507
135,0.680423
136,0.632166
137,0.664473
138,0.706442
139,0.675028
140,0.664452
141,0.642054
142,0.607239
143,0.691152
144,0.626336
145,0.604666
146,0.598163
147,0.583306
148,0.577210
149,0.595112
150,0.586057
151,0.613070
152,0.664264
153,0.699749
154,0.658121
155,0.599142
156,0.571907
157,0.599923
158,0.563529
159,0.574420
160,0.540905
161,0.539567
162,0.532364
163,0.520988
164,0.524339
165,0.515162
166,0.513116
167,0.514124
168,0.574831
169,0.598037
170,0.521332
171,0.494086
172,0.483232
173,0.464620
174,0.453792
175,0.462344
176,0.463669
177,0.485270
178,0.493821
179,0.484554
180,0.496840
181,0.475348
182,0.472386
183,0.453461
184,0.479614
185,0.458680
186,0.484357
187,0.472289
188,0.447618
189,0.434861
190,0.437277
191,0.431752
192,0.437277
193,0.472658
194,0.486428
195,0.473467
196,0.476285
197,0.428880
198,0.439627
199,0.425791
200,0.447896
201,0.411897
202,0.392187
203,0.396573
