Epoch,Average Loss
1,37.824667
2,19.863614
3,9.705811
4,7.480570
5,7.039291
6,6.951877
7,6.892409
8,7.085220
9,6.559620
10,6.912859
11,6.923822
12,6.758508
13,6.624838
14,6.563274
15,6.602080
16,6.684793
17,6.697835
18,6.651990
19,6.680771
20,6.571010
21,6.749637
22,6.448300
23,6.688931
24,6.489367
25,6.690096
26,6.477904
27,6.651577
28,6.447513
29,6.616705
30,6.416160
31,6.573808
32,6.406109
33,6.517744
34,6.426818
35,6.503875
36,6.404653
37,6.465375
38,6.411720
39,6.468934
40,6.419098
41,6.470301
42,6.405186
43,6.472471
44,6.462452
45,6.518161
46,6.475079
47,6.525500
48,6.596372
49,6.538598
50,6.537974
51,6.482387
52,6.435590
53,6.451874
54,6.542035
55,6.413009
56,6.347683
57,6.351548
58,6.409681
59,6.337882
60,6.341473
61,6.442262
62,6.328741
63,6.353500
64,6.414984
65,6.376042
66,6.468059
67,6.369105
68,6.501313
69,6.391740
70,6.473517
71,6.334885
72,6.414456
73,6.359361
74,6.355996
75,6.481213
76,6.359149
77,6.420255
78,6.427999
79,6.475230
80,6.407576
81,6.537861
82,6.400268
83,6.577739
84,6.450503
85,6.408540
86,6.375071
87,6.463330
88,6.366765
89,6.426341
90,6.418751
91,6.468105
92,6.371627
93,6.460347
94,6.502320
95,6.457337
96,6.463891
97,6.458848
98,6.424921
99,6.404797
100,6.513525
101,6.407859
102,6.484792
103,6.335527
104,6.425572
105,6.424739
106,6.514393
107,6.406976
108,6.434232
109,6.349899
110,6.487681
111,6.362905
112,6.528480
113,6.430960
114,6.416566
115,6.483229
116,6.375667
117,6.466143
118,6.308092
119,6.387150
120,6.379861
121,6.493346
122,6.347516
123,6.472219
124,6.387027
125,6.461413
126,6.390330
127,6.383520
128,6.457872
129,6.388531
130,6.384407
131,6.416514
132,6.319546
133,6.449066
134,6.342894
135,6.415730
136,6.378751
137,6.459853
138,6.321520
139,6.473655
140,6.306423
141,6.504393
142,6.434331
143,6.365622
144,6.335103
145,6.417136
146,6.335916
147,6.386757
148,6.384142
149,6.432136
150,6.340149
151,6.468066
152,6.321988
153,6.468237
154,6.294722
155,6.409039
156,6.426440
157,6.416244
158,6.393197
159,6.420723
160,6.282773
161,6.422244
162,6.467836
163,6.348290
164,6.310846
165,6.344104
166,6.473719
167,6.260314
168,6.406753
169,6.252307
170,6.427652
171,6.252525
172,6.485334
173,6.336537
174,6.439654
175,6.457079
176,6.438265
177,6.305480
178,6.517695
179,6.309052
180,6.410668
181,6.325897
182,6.375946
183,6.432535
184,6.331775
185,6.499371
186,6.230513
187,6.556801
188,6.311748
189,6.375696
190,6.344324
191,6.380461
192,6.363205
193,6.408512
194,6.299348
195,6.439478
196,6.329757
197,6.392346
198,6.401482
199,6.391360
200,6.229434
201,6.347428
202,6.711934
203,6.644936
204,6.508125
205,6.482149
206,6.427099
207,6.431285
208,6.427744
209,6.431165
210,6.425444
211,6.431325
212,6.419658
213,6.445912
214,6.387343
215,6.532397
216,6.252876
217,6.546150
218,6.330987
219,6.432636
220,6.405519
221,6.444277
222,6.336041
223,6.420955
224,6.376675
225,6.401061
226,6.379821
227,6.402729
228,6.299502
229,6.427887
230,6.216268
231,6.441496
232,6.261270
233,6.457971
234,6.327806
235,6.379145
236,6.336379
237,6.466236
238,6.226953
239,6.430682
240,6.319727
241,6.327476
242,6.337489
243,6.237163
244,6.408256
245,6.241774
246,6.422752
247,6.470974
248,6.305696
249,6.398128
250,6.216759
251,6.409205
252,6.301267
253,6.380869
254,6.301214
255,6.503005
256,6.266169
257,6.461049
258,6.304925
259,6.458079
260,6.334403
261,6.355600
262,6.455401
263,6.298859
264,6.370264
265,6.237505
266,6.421472
267,6.356074
268,6.328219
269,6.373627
270,6.360444
271,6.339549
272,6.249018
273,6.483918
274,6.304867
275,6.369920
276,6.255493
277,6.406487
278,6.186397
279,6.416822
280,6.343785
281,6.409760
282,6.380418
283,6.418426
284,6.270615
285,6.488575
286,6.200953
287,6.440249
288,6.248264
289,6.390905
290,6.260386
291,6.450116
292,6.213819
293,6.449583
294,6.233997
295,6.429338
296,6.346456
297,6.256185
298,6.459327
299,6.224583
300,6.488443
301,6.218178
302,6.446116
303,6.196704
304,6.389870
305,6.274904
306,6.316583
307,6.398090
308,6.208781
309,6.415645
310,6.225420
311,6.448308
312,6.280122
313,6.360809
314,6.218007
315,6.392000
316,6.175028
317,6.472667
318,6.159490
319,6.479729
320,6.158321
321,6.387143
322,6.201986
323,6.463709
324,6.221985
325,6.454181
326,6.291729
327,6.476497
328,6.283466
329,6.440692
330,6.340697
331,6.375403
332,6.365459
333,6.282413
334,6.333582
335,6.228305
336,6.314953
337,6.422419
338,6.167713
339,6.272213
340,6.382946
341,6.329232
342,6.208317
343,6.408132
344,6.480496
345,6.155679
346,6.386961
347,6.450497
348,6.159732
349,6.440362
350,6.147050
351,6.351133
352,6.452220
353,6.330916
354,6.274425
355,6.347369
356,6.464560
357,6.166813
358,6.317411
359,6.414110
360,6.178781
361,6.403390
362,6.349225
363,6.262864
364,6.506594
